Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,INT_INVEST_INC_TO_INVEST_ASSET,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,TOT_INS_RES_TO_TOT_CAP,TOT_INS_RES_TO_TOT_ASSET,EQY_AND_RE_INVEST_TO_TOT_INVEST,OPER_INC_TO_NET_PREM_EARN,INS_RES_GROWTH,NET_PREM_EARN_TO_SHRHLDR_EQY,TANGIBLE_COMMON_EQUITY,REALIZED_EQUITY
2011,17.2921,34.6165,2.5321,24.0744,19.4458,29.7411,3.2935,3.0068,27.4783,23.598,78.4447,21.5553,18.5114,585.0433,81.6081,0.0267,20.6607,19.0786,163.4678,11056,10992
2012,13.3057,34.339,1.783,16.1403,13.6237,20.7486,1.845,2.8261,25.3746,22.7097,79.761,20.239,18.1135,582.7922,81.3794,0.0247,15.4503,14.7194,157.2841,12946,11794
2013,16.961,33.3798,2.3175,19.8175,16.6291,24.961,2.8741,3.3198,27.2375,27.2187,78.5932,21.4068,21.392,481.7954,74.7166,0.0198,20.6023,3.5478,138.6156,15978,13413
2014,20.1178,34.4269,2.5024,20.6419,16.815,25.6431,3.3247,4.0369,33.4952,33.4952,74.9091,25.0909,25.0909,458.0724,73.699,0.0198,25.3737,-8.726,137.7223,14620,13597
2015,19.7598,34.2908,2.4482,17.9028,14.6447,22.2871,3.3883,4.4102,28.7894,28.7894,77.6461,22.3539,22.3539,355.2118,70.0802,0.0273,25.2097,-6.1173,103.9516,18347,13701
