Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,INT_INVEST_INC_TO_INVEST_ASSET,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,TOT_INS_RES_TO_TOT_CAP,TOT_INS_RES_TO_TOT_ASSET,EQY_AND_RE_INVEST_TO_TOT_INVEST,OPER_INC_TO_NET_PREM_EARN,INS_RES_GROWTH,NET_PREM_EARN_TO_SHRHLDR_EQY,TANGIBLE_COMMON_EQUITY,REALIZED_EQUITY
2011,13.0607,33.441,1.5854,10.1591,8.5817,12.8934,5.6294,4.9843,31.9351,26.9017,75.7949,24.2051,20.3901,367.6564,75.7078,0,19.8226,4.3143,83.0844,8743.2,8173
2012,3.2428,14.7315,0.4864,3.3212,3.5566,4.171,5.2689,4.84,35.2828,27.6375,73.9192,26.0808,20.4294,421.6808,78.2551,0,6.3427,7.4185,91.9764,7968.5,7146.2
2013,11.8826,28.4194,1.4687,10.6588,8.7295,12.1953,5.0859,5.1597,37.2849,31.9927,72.8412,27.1588,23.3038,408.0803,77.5283,0,18.0778,3.531,89.5908,8410.9,7337.5
2014,11.6402,28.8002,1.4109,9.9365,8.3247,11.692,4.9572,4.5258,31.0483,29.2813,76.3078,23.6922,22.3439,411.3848,78.585,0,17.7659,-3.2503,88.0542,8458.2,8127.1
2015,5.1499,25.8118,0.66,4.6808,4.6478,6.2649,4.9836,4.4525,32.6289,29.0639,75.3984,24.6016,21.9137,438.0721,79.2841,0,9.0994,6.064,91.496,8323.2,#N/A N/A
