Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,45.3646,23.8163,#N/A N/A,30.1431,43.3647,34.498,33.5793,6.5264,15.4455,11.577,26.8792,63.1384,63.1384,2.4023,42.572,60.351,38.1047,38.1047,0.4939,2490.51,58.9327,0.1445,0.4533,1.5564,38.1047,9.2851,57.5372,57.9712,115.5083,0.7063,0.2088,0.2088,427.963,1500,1400
2012,52.0047,36.5652,37.8847,24.7378,26.6686,30.11,33.9038,7.9,17.0603,13.4447,22.092,46.074,46.074,2.0792,47.949,67.0998,30.9155,30.9155,0.6049,1991.42,35.2393,0.5026,0.7606,1.3112,30.9155,38.329,38.0744,64.1467,102.221,0.5693,0.2408,0.2408,332.781,1250,1200
2013,49.1086,25.6671,-76.9578,35.8288,27.077,34.6843,6.2166,1.5686,3.3862,4.2346,28.4734,65.4062,65.4062,1.9397,43.5331,59.3352,38.8089,38.8089,0.4938,3491.8,59.5128,0.2217,0.5279,1.015,38.8089,21.8399,35.075,50.9971,86.0721,1.071,0.2978,0.2978,15.565,1500,1000
2014,43.8162,16.0648,#N/A N/A,-6.7688,-15.9889,#N/A N/A,-23.3426,-6.608,-13.6356,-7.206,21.5796,40.1848,40.1848,4.1068,53.701,71.2344,28.6254,28.6254,0.8089,2260,34.1648,0.3144,0.6592,1.384,28.6254,22.7168,38.0176,37.7356,75.7533,-0.1944,-0.0916,-0.0916,480,1500,1500
2015,39.589,23.3426,#N/A N/A,26.2647,36.0659,34.8153,21.0027,6.8375,12.1188,10.2408,17.7611,30.8589,30.8589,1.1982,57.5558,76.3638,23.565,23.565,0.8935,1623,18.8963,0.7223,1.0296,1.6624,23.565,43.4506,35.7334,31.4514,67.1848,0.8196,0.4392,0.4392,940,1500,1500
