Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,T12_NET_INT_MARGIN,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,AVG_COM_EQY_TO_AVG_ASSET,COM_EQY_TO_TOT_ASSET,BS_TIER1_CAP_RATIO,AVG_EARN_ASSET_TO_AVG_INT_LIAB,INT_EXP_TO_INT_BEAR_LIAB,T12_NET_INT_MARGIN,TOT_EXP_TO_AVG_EARN_ASSET,INT_INC_TO_AVG_TOT_LOAN,TANGIBLE_EQUITY,REALIZED_EQUITY
2011,18.2222,41.7202,0.5405,8.0361,2.0268,4.8872,8.3858,3.6676,54.5294,32.2197,64.7126,35.2874,20.8502,6.7256,6.7259,23.7,97.7821,0.2588,2.0268,4.914,9.2393,5541,6210
2012,29.5604,37.931,0.8592,12.396,1.8915,8.4565,13.6244,2.8548,40.1737,25.9398,71.3401,28.6599,18.5055,6.9312,7.1062,23.4,98.9712,0.1899,1.8915,3.8291,9.0798,6227,#N/A N/A
2013,29.5979,36,0.7663,10.7434,1.6414,8.0339,12.553,2.0204,30.9491,18.707,70.9903,21.9709,13.2802,6.7872,6.5281,20,96.8826,0.1352,1.6414,3.349,8.3561,8042,#N/A N/A
2014,31.3765,37.1848,0.7725,11.077,1.5781,8.2258,13.0952,2.3461,35.4289,20.0063,69.1732,24.5073,13.839,6.5768,6.622,19,98.7587,0.0827,1.5781,3.0559,8.0971,8888,9503
2015,34.9356,37.5414,0.8857,12.3367,1.6646,8.969,14.3599,2.5239,35.7058,17.3726,69.5976,24.8504,12.0909,6.8535,7.0686,22.1,100.1038,0.0748,1.6646,2.9606,8.4026,10349,10766
