Year,GROSS_MARGIN,OPER_MARGIN,PRETAX_MARGIN,PROF_MARGIN,NET_INC_GROWTH,EFF_TAX_RATE,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,TOT_DEBT_TO_TOT_CAP,GROWTH_IN_CAP,BS_TOT_CAP,PFD_STOCK_TO_TOT_CAP,COM_EQY_TO_TOT_CAP,NET_DEBT,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,42.6646,16.692,11.6279,8.1721,5.3221,29.7196,10.5767,3.0006,6.6759,57.0085,4.3252,8611,0,42.9915,4854,0.0295,0.4778,0.8736,57.0085,3.3722,60.7276,65.5838,126.3113,0.4114,0.185,0.1564,-236,300,258
2012,45.77,18.4396,12.5879,8.7775,2.9255,30.2703,10.1963,2.9205,6.5712,57.7053,6.782,9195,0,42.2947,5277,0.0177,0.4781,0.908,57.7053,1.945,65.9384,68.0082,133.9466,0.4951,0.1759,0.1532,-151,300,166
2013,50.5747,20.5699,14.4157,10.0575,8.5271,30.2326,10.4439,2.984,6.5554,58.0319,7.6455,9898,#N/A N/A,41.9681,5672,0.0398,0.4705,0.8432,58.0319,4.7151,67.3103,78.4666,145.7769,0.4743,0.1736,0.1495,-284,300,155
2014,49.2992,20.2447,15.4394,10.4783,12.1429,32.1326,10.6827,3.1632,6.598,55.5344,5.9709,10489,0,44.4656,5689,0.0943,0.6505,0.9854,55.5344,9.5707,64.2303,64.3835,128.6138,0.6311,0.1687,0.1562,-21,1800,1421
2015,47.4248,20.3393,15.8756,10.8665,14.2251,31.5522,11.1491,3.3608,6.8042,57.016,10.6111,11602,0,42.984,6478,0.0541,0.3849,0.8468,57.016,6.3869,60.4524,50.7607,111.2131,0.3976,0.1821,0.1522,-388,1800,879
