Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,30.614,5.3898,-4.0222,15.4792,11.5561,34.9537,6.3013,5.177,19.7245,9.3481,53.0998,217.7868,214.0014,3.5004,24.3815,29.4017,64.0331,62.9201,0.1949,3425.62,141.5437,0.9554,2.0902,2.8375,64.0331,33.6702,61.0846,5.9667,67.0513,1.0781,0.2354,0.2313,1698.51,250,204.211
2012,32.9615,8.4523,17.8262,16.1952,12.785,35.3706,6.846,5.6214,23.2068,10.432,50.6622,210.4069,206.3274,3.2222,24.0782,29.5267,62.1263,60.9217,0.2619,4093.82,149.0644,0.3566,1.393,1.9786,62.1263,18.0202,58.6569,5.9162,64.5731,0.9806,0.256,0.251,1128.49,350,297.703
2013,31.8512,17.2448,12.1372,15.8446,12.2315,35.9376,6.5477,4.3035,18.1571,8.1331,53.4025,227.319,221.2658,5.2129,23.4923,28.8075,65.4848,63.741,0.1287,8013.44,177.7312,0.268,0.9723,1.4264,65.4848,18.7886,58.4897,5.0469,63.5366,0.6427,0.1558,0.1516,860.62,350,235.147
2014,30.3099,43.7045,18.1765,13.1769,9.5628,33.8685,5.3846,3.8254,15.4582,7.7779,49.2192,189.8696,183.6722,4.0495,25.9226,32.3096,61.3461,59.3437,0.2107,7462.88,140.7336,0.3871,0.9903,1.4103,61.3461,27.4474,45.0891,3.716,48.805,0.6296,0.1904,0.1842,1010.23,350,#N/A N/A
2015,28.7282,8.7645,14.1556,14.1862,10.2357,34.0805,5.6515,4.1658,15.0602,8.0048,47.7866,162.8229,160.499,3.499,29.3488,35.3925,57.6271,56.8047,0.1734,7116.14,114.9567,0.6237,1.3542,1.7409,57.6271,35.8245,42.9469,4.5006,47.4475,0.869,0.2187,0.2156,1547.52,1000,905
