Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,77.729,11.9375,23.4009,38.833,40.1341,17.5305,33.0984,23.7659,44.8391,38.6289,10.9665,20.8836,20.8836,0.3983,52.5123,82.7242,17.2758,17.2758,2.2644,-40851,-71.5642,1.834,2.3549,2.6037,17.2758,70.4397,73.0621,24.7442,97.8063,0.9439,2.2784,2.2784,46144,0,0
2012,76.2218,5.4044,-26.6609,29.52,30.2036,23.7526,23.0294,14.7651,27.5068,23.4439,9.849,17.998,16.143,0.483,54.7229,84.7472,15.2528,13.6808,2.6479,-51096,-76.9947,1.9285,2.4113,2.6029,15.2528,74.0915,76.3718,26.1921,102.5639,0.6658,2.0315,1.8221,52396,0,0
2013,73.9894,5.5966,28.7725,34.3794,34.7493,19.1816,28.0839,16.5816,30.0921,25.6981,10.9527,19.7608,15.9619,0.5112,55.4261,83.4997,16.5003,13.3282,1.8483,-61422,-77.8045,2.0585,2.5258,2.7118,16.5003,75.9092,77.9849,27.7143,105.6992,0.7153,2.124,1.7156,64049,1300,1300
2014,68.816,11.5403,0.9651,31.9683,32.0385,20.6542,25.4212,14.0235,26.1652,21.7881,13.1364,25.2216,22.9941,0.6868,52.0837,79.8584,20.1416,18.3627,1.4233,-63064,-70.2397,1.8786,2.3069,2.504,20.1416,75.0214,77.8273,30.9895,108.8168,0.6084,1.3446,1.2258,68621,5000,5000
2015,64.6954,7.7701,-44.7631,19.4069,19.7767,34.1168,13.0295,7.0306,14.3559,11.1566,20.2279,44.0693,34.724,1.4633,45.9002,69.4111,30.5889,24.1023,0.8406,-61234,-76.4632,1.9442,2.305,2.4734,30.5889,78.6062,73.039,30.7242,103.7632,0.3658,0.6531,0.5146,73150,10000,10000
