Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,INT_INVEST_INC_TO_INVEST_ASSET,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,LOSS_RATIO_NL,EXP_RATIO_NL,COMB_RATIO_NL,TOT_INS_RES_TO_TOT_CAP,TOT_INS_RES_TO_TOT_ASSET,EQY_AND_RE_INVEST_TO_TOT_INVEST,OPER_INC_TO_NET_PREM_EARN,INS_RES_GROWTH,NET_PREM_EARN_TO_SHRHLDR_EQY,TANGIBLE_COMMON_EQUITY,REALIZED_EQUITY
2011,13.2821,24.7505,2.5529,7.7002,7.2822,9.6774,6.1126,5.5581,16.6733,16.6733,85.7094,14.2906,14.2906,68.9,32.8,101.7,143.2124,55.7006,26.4251,18.0078,4.851,61.248,5032,4263
2012,4.549,5.2023,1.0674,3.2588,3.6384,3.838,5.1053,5.9162,18.3787,14.246,84.4747,15.5253,12.0342,77,32.3,109.3,148.6573,56.6485,25.0487,7.1071,5.3402,63.4612,5033,#N/A N/A
2013,13.7679,25.6184,2.6163,8.0298,7.4731,10.047,4.7093,5.6261,17.0732,13.2588,85.4167,14.5833,11.3252,63.9,32.2,96.1,141.7763,54.6954,26.9108,17.6036,2.1904,64.5883,5453,#N/A N/A
2014,15.7581,27.591,3.0225,8.9734,8.3044,11.4687,4.69,5.3165,15.4695,13.7562,86.6029,13.3971,11.9133,61.9,31.9,93.8,133.671,53.0461,32.2545,19.6822,3.5134,64.2834,6070,#N/A N/A
2015,14.5804,27.1845,2.8838,8.305,7.799,10.7106,4.8801,4.6458,13.2512,12.5057,88.2993,11.7007,11.0425,65,30.6,95.6,131.8646,52.3576,33.7689,18.2418,4.7711,64.552,6573,#N/A N/A
