Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,43.4525,-0.0573,-7.6285,12.6744,10.7628,49.0231,10.6481,12.7884,#N/A N/A,23.0544,62.0706,#N/A N/A,#N/A N/A,3.0909,-2.0658,-3.4428,103.4428,85.0681,0.2701,2325,#N/A N/A,0.1897,0.5744,0.937,103.4428,20.2502,37.1559,44.0517,81.2076,0.4857,0.312,0.2566,-86,1118,1113
2012,42.1361,4.5307,-2.8725,16.5143,14.466,31.3527,9.8939,12.7025,#N/A N/A,24.6581,62.4799,#N/A N/A,#N/A N/A,2.5171,-3.0999,-5.2204,105.2204,60.7502,0.2249,2454,#N/A N/A,0.1295,0.409,0.6676,105.2204,19.4041,36.8477,44.304,81.1517,0.4381,0.5748,0.3319,-685,1144,1129
2013,42.8953,2.8347,5.7301,17.3395,15.1698,32.7081,10.1725,13.201,#N/A N/A,25.6307,55.022,1624.66,1486.3,2.0501,3.3867,5.7983,94.2017,86.1795,0.3267,2073,1419.86,0.2637,0.7751,1.2522,94.2017,21.0563,37.5191,44.2183,81.7374,0.8598,0.4493,0.411,286,1145,1142
2014,42.7276,-1.9385,-2.4476,17.7185,16.0319,34.5023,10.1197,13.0237,372,25.0938,54.3213,1501.95,1035.71,2.0043,3.6167,6.2424,93.7576,64.6534,0.3316,1984,1288.31,0.2009,0.5342,0.8516,93.7576,23.5842,37.2679,45.076,82.3439,0.5965,0.6125,0.4224,-243,1144,1139
2015,43.5897,2.5571,3.9427,17.8249,16.2865,34.202,10.2564,13.7735,426.4706,27.0435,52.6177,1856.78,1522.03,1.8615,2.8338,5.1104,94.8896,77.7826,0.3989,1809,1533.05,0.2719,0.6413,1.0171,94.8896,26.732,34.37,44.1089,78.479,0.7174,0.5612,0.4601,24,1129,1125
