Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,T12_NET_INT_MARGIN,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,AVG_COM_EQY_TO_AVG_ASSET,COM_EQY_TO_TOT_ASSET,AVG_EARN_ASSET_TO_AVG_INT_LIAB,T12_NET_INT_MARGIN,TANGIBLE_EQUITY,REALIZED_EQUITY
2011,13.1162,32.704,2.9304,4.3734,0,3.3146,5.2169,19.8695,29.9839,25.6377,76.5579,22.9551,19.6277,67.0043,66.2672,37.8761,0,618.669,#N/A N/A
2012,11.3831,23.773,2.5582,3.8578,0,3.1017,4.5479,19.3858,29.2146,24.7886,77.1379,22.5356,19.1214,66.3114,66.3565,45.6231,0,569.411,#N/A N/A
2013,-19.5436,#N/A N/A,-4.4653,-6.7328,0,-5.3091,-6.4123,18.6087,28.0758,27.029,77.8139,21.8468,21.0323,66.3215,66.2803,45.0274,0,392.633,#N/A N/A
2014,15.3056,32.8388,3.9606,5.9375,0,4.6774,7.1512,14.6142,21.7677,21.7585,81.4908,17.7387,17.7312,66.7039,67.1369,49.2753,0,407.19,#N/A N/A
2015,13.0535,34.0452,3.3448,4.984,#N/A N/A,4.2439,8.7116,14.8474,23.3884,23.3884,80.3837,18.8004,18.8004,65.3155,63.482,#N/A N/A,#N/A N/A,-122.423,4545.64
