Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,INT_INVEST_INC_TO_INVEST_ASSET,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,LOSS_RATIO_NL,EXP_RATIO_NL,COMB_RATIO_NL,TOT_INS_RES_TO_TOT_CAP,TOT_INS_RES_TO_TOT_ASSET,EQY_AND_RE_INVEST_TO_TOT_INVEST,OPER_INC_TO_NET_PREM_EARN,INS_RES_GROWTH,NET_PREM_EARN_TO_SHRHLDR_EQY,TANGIBLE_COMMON_EQUITY,REALIZED_EQUITY
2011,17.1472,25.3135,2.9886,12.1836,10.6191,14.2182,4.5001,6.2571,26.0204,25.5914,79.1841,20.604,20.2643,61,32.2,93.2,211.5253,64.2368,1.866,21.9018,-2.7441,84.1295,21540,24152
2012,5.3132,#N/A N/A,1.3566,5.7133,5.3093,5.5028,4.0351,6.316,26.9845,25.5546,78.7498,21.2502,20.1242,72.9,32.2,105.1,217.7466,64.7191,1.9587,7.8678,-0.2799,90.248,20679,#N/A N/A
2013,12.2999,21.8888,2.3607,9.8392,8.8109,11.28,4.0126,6.0512,24.9951,22.6333,80.0031,19.9969,18.1074,64.9,32.2,97.1,210.8928,63.8177,2.0694,15.8519,-1.0505,88.0024,21659,#N/A N/A
2014,18.8805,25.723,3.519,14.5256,12.532,16.872,3.9211,6.113,25.5928,25.1895,79.6224,20.3776,20.0565,57.9,31.9,89.8,215.3779,64.6101,2.5711,23.4395,0.1553,91.293,20811,#N/A N/A
2015,18.7357,27.4514,3.569,14.7687,12.7062,17.5141,3.9147,6.1594,25.5637,23.5505,79.6409,20.3591,18.7558,57.6,31.4,89,211.8038,64.0787,2.5075,23.0169,-1.5237,95.4783,20921,#N/A N/A
