Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,34.2962,21.4659,51.5632,17.7931,16.3539,24.4135,12.3119,10.7712,25.8816,15.3702,27.9934,58.3875,57.2253,1.5051,47.9441,63.0857,36.8341,36.101,0.4189,582.666,38.0582,0.5117,1.3002,2.2726,36.8341,22.5155,55.4887,96.6415,152.1302,0.8089,0.5602,0.5491,771.258,350,184
2012,34.5261,15.1802,18.4011,17.9383,16.1345,23.2456,12.6562,11.1354,23.7635,15.987,34.0286,73.9761,71.8103,1.9435,45.9994,57.4505,42.4996,41.2553,0.3749,766.836,41.3914,0.923,1.8002,2.7514,42.4996,33.5476,61.2401,93.7649,155.005,0.8721,0.4282,0.4157,1143.19,400,#N/A N/A
2013,36.1602,11.5513,10.0313,19.1847,17.1676,27.2832,12.4838,9.4273,21.1312,13.0915,36.891,84.6702,82.6885,2.352,43.5702,54.1355,45.8366,44.7639,0.2805,1194.1,51.1918,1.0406,1.9103,2.9845,45.8366,34.8652,62.9572,100.7818,163.7389,0.9061,0.3523,0.344,1487.4,400,395
2014,34.4304,17.8485,-21.6339,14.9175,10.104,17.841,8.3014,3.1754,5.7493,4.6327,29.1707,49.4246,45.6954,3.838,59.0206,66.9234,33.0766,30.5809,0.2366,1185.6,12.2036,2.7291,3.427,4.0485,33.0766,67.4117,103.1767,134.3093,237.4859,0.4697,0.1402,0.1296,4039.2,600,600
2015,39.5324,28.2553,#N/A N/A,9.7322,0.5906,203.7975,-0.613,-0.183,-0.3321,#N/A N/A,30.8855,59.68,49.5342,5.2368,51.7518,62.6276,37.3761,31.0221,0.1759,5572.1,55.5206,0.1678,0.6469,1.1021,37.3761,15.2237,73.0303,84.7564,157.7867,0.2091,0.1047,0.0869,254.3,1750,1070
