Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,T12_NET_INT_MARGIN,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,AVG_COM_EQY_TO_AVG_ASSET,COM_EQY_TO_TOT_ASSET,BS_TIER1_CAP_RATIO,BS_TOT_CAP_TO_RISK_BASE_CAP,AVG_EARN_ASSET_TO_AVG_INT_LIAB,INT_EXP_TO_INT_BEAR_LIAB,T12_NET_INT_MARGIN,INT_INC_TO_AVG_TOT_LOAN,TANGIBLE_EQUITY,REALIZED_EQUITY
2011,19.8522,12.1008,0.5956,8.4859,0.1132,1.0518,1.1493,60.4605,1025.62,404.2025,8.5985,88.1882,34.7555,5.3639,5.895,16.1,#N/A N/A,118.9466,0.9628,0.1132,18.8251,54001,#N/A N/A
2012,18.9198,23.1185,0.5277,3.8223,0.0463,0.8797,1.1551,57.6361,713.9162,304.3128,12.053,86.0483,36.6788,6.9437,8.0732,16.6,#N/A N/A,119.0346,1.0697,0.0463,17.3668,59107,#N/A N/A
2013,1.9922,#N/A N/A,0.0089,-0.0495,-0.0274,0.14,0.1017,57.7297,743.958,279.8155,11.641,86.6041,32.5733,7.9133,7.7598,17.7,#N/A N/A,117.6245,0.9274,-0.0274,12.2729,59304,61117
2014,14.0276,19.7894,0.3634,4.3065,0.0974,0.6993,0.8822,53.2886,707.7,244.9323,12.228,86.5377,29.9504,7.6411,7.5298,15.7,16.9,116.665,0.6469,0.0974,6.7796,59149,63794
2015,10.477,#N/A N/A,0.4243,4.9412,0.2159,0.7802,0.764,44.3089,547.3798,235.4686,15.1857,83.1235,35.7576,7.8069,8.0947,14.1,16.4,116.2391,0.5319,0.2159,5.0162,62357,66128
