Year,GROSS_MARGIN,OPER_MARGIN,PRETAX_MARGIN,PROF_MARGIN,NET_INC_GROWTH,EFF_TAX_RATE,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,TOT_DEBT_TO_TOT_CAP,GROWTH_IN_CAP,BS_TOT_CAP,PFD_STOCK_TO_TOT_CAP,COM_EQY_TO_TOT_CAP,NET_DEBT,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,54.5993,13.0669,8.8462,5.5626,-26.2425,39.1525,8.4592,2.125,4.7959,62.2549,1.0094,23717,0,37.88,13746,0.2166,0.55,0.7861,62.2549,27.5554,40.5662,38.724,79.2902,0.3705,0.1386,0.118,-1006,2750,#N/A N/A
2012,55.4592,10.5159,8.9366,5.4809,19.2722,39.7782,7.9501,2.1362,5.2762,56.5903,29.1732,30636,0,43.3477,17135,0.0416,0.4111,0.691,56.5903,6.0209,37.9987,36.769,74.7677,0.3497,0.108,0.0979,-1500,2000,#N/A N/A
2013,56.0204,14.0902,8.5118,5.0416,-12.9944,41.9231,5.8413,1.5743,4.1686,59.389,5.2357,32240,0,40.5831,18975,0.0226,0.2763,0.4955,59.389,4.5648,44.6087,45.5525,90.1612,0.283,0.1418,0.1124,-3837,5550,3340
2014,56.6277,10.6232,3.8276,2.6323,-49.0909,34.2105,3.0416,0.7769,3.0271,61.9283,3.4274,33345,0,38.0627,20432,0.0285,0.2797,0.5255,61.9283,5.4323,47.1446,45.5756,92.7202,0.2071,0.0999,0.0766,-3624,6000,2761
2015,53.5119,7.0569,1.1363,1.9868,-23.7245,#N/A N/A,2.3813,0.5859,2.7233,63.6794,2.5671,34201,0,36.3147,21694,0.0153,0.3352,0.6038,63.6794,2.5313,44.8337,40.9295,85.7632,0.191,0.0554,0.0488,-2203,6000,3962
