Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,33.0934,12.5136,113.5089,14.7535,11.6333,38.3975,7.1718,4.4195,33.5764,7.9109,56.2764,387.0881,267.3084,5.1246,14.5384,20.5214,79.4359,54.8554,0.0937,65.3,1.0359,0.2826,0.5262,0.8094,79.4359,34.9128,42.6771,57.2743,99.9514,0.2698,0.2282,0.1576,-2709.6,5294,3222
2012,31.5286,23.1032,50.1287,15.5633,13.1911,33.7122,8.7463,6.1217,42.7773,10.3383,55.1567,391.0063,249.3993,4.5089,14.1063,20.3574,79.5989,50.7713,0.0875,5.5,0.0807,0.2526,0.4403,0.7679,79.5989,32.9013,38.5307,61.8918,100.4225,0.2839,0.2938,0.1874,-4074,5080,3721
2013,30.8357,12.9468,9.4575,15.259,13.094,35.0498,8.4761,5.867,44.929,9.8506,57.6201,473.837,328.1609,4.9714,12.1603,17.4177,82.5316,57.1582,0.036,860.3,12.5372,0.3207,0.5197,0.8874,82.5316,36.138,35.9025,69.8154,105.7179,0.289,0.2457,0.1702,-2149.1,5194,3793
2014,32.0888,4.5311,15.4208,16.4695,14.5081,35.4871,9.3591,6.11,41.3528,9.5586,57.9216,335.8306,210.1901,4.681,17.2473,22.9437,77.052,48.2254,0.0944,1720.9,16.7603,0.2334,0.4043,0.7199,77.052,32.4158,36.4914,71.8466,108.338,0.2832,0.2885,0.1806,-6156.6,6498,2939
2015,31.306,-4.5733,-10.6183,15.1424,13.3014,33.9038,8.7662,5.2321,32.7156,7.9372,60.2552,407.8123,269.0254,5.4608,14.7752,19.6911,80.3026,52.974,0.0954,1807,19.9327,0.2356,0.3899,0.6603,80.3026,35.6786,35.6014,67.3582,102.9596,0.2572,0.224,0.1478,-7212.9,6413,3367
