Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,35.7173,-0.9748,463.4441,15.081,16.5366,#N/A N/A,16.7917,7.332,21.8205,11.2905,45.1518,126.8192,122.9163,5.0861,35.6033,44.088,55.912,54.1913,0.1915,3227.1,126.4587,0.0139,0.6435,3.1423,55.912,0.4417,51.0529,276.8472,327.9001,0.758,0.1602,0.1553,1420.1,842,753.2
2012,40.0143,-20.3391,-20.4647,18.3287,20.1183,16.6667,16.7652,6.2336,17.024,10.3734,44.0161,116.9469,90.4858,5.2438,37.6377,46.0942,53.9058,41.7087,0.2506,3043.7,113.7407,0.0715,0.4363,1.6958,53.9058,4.2177,58.9477,315.3595,374.3072,0.4056,0.2009,0.1555,834.7,842,339.8
2013,39.6374,5.3423,-12.8539,18.701,18.4686,24.9032,13.8693,5.259,14.0094,9.4135,43.2752,115.5613,114.5964,5.1784,37.4478,46.3905,53.6095,53.1618,0.1683,2973.9,103.9716,0.489,1.1851,3.6454,53.6095,13.4145,59.3626,308.7513,368.1139,0.7714,0.1595,0.1582,1793.3,850,835.5
2014,40.9167,74.0889,401.0572,50.0791,45.2431,11.7695,39.9182,17.7127,49.5588,24.605,49.0872,140.9371,127.9445,2.7075,34.8292,41.5046,58.4954,53.1029,0.1177,6956.6,139.6543,0.0315,0.3407,1.3562,58.4954,2.326,41.17,204.6272,245.7972,1.2034,0.3825,0.3472,721.5,850,270
2015,42.777,23.8367,-56.8061,24.8872,19.5687,29.1116,13.9234,5.7105,15.612,8.5512,48.3436,126.4405,122.7927,4.2865,38.2343,43.7911,55.3696,53.7723,0.1482,7186.4,122.1907,0.0974,0.627,2.5743,55.3696,3.7825,37.0904,188.9336,226.024,1.3268,0.2117,0.2056,1780.1,#N/A N/A,#N/A N/A
