Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,AVG_COM_EQY_TO_AVG_ASSET,COM_EQY_TO_TOT_ASSET,BS_TIER1_CAP_RATIO,BS_TOT_CAP_TO_RISK_BASE_CAP,INT_EXP_TO_INT_BEAR_LIAB,TANGIBLE_EQUITY,REALIZED_EQUITY
2011,35.7008,32.1417,1.1571,8.0641,6.7009,9.8944,2.5984,17.771,17.3878,84.2661,14.975,14.652,14.14,14.6213,55.1,103.3,2.9112,-3989,#N/A N/A
2012,35.2049,25.3907,1.3043,9.0575,7.473,9.965,3.5376,25.4082,25.009,79.1775,20.1176,19.8015,14.2708,13.923,45.1,104.1,3.1997,-4878,#N/A N/A
2013,38.0399,29.683,1.2925,9.7443,7.4609,10.6164,4.0853,32.2364,31.8427,75.2147,24.2465,23.9504,13.2642,12.6729,49.7,99.1,2.9547,-4727,#N/A N/A
2014,39.8535,25.7236,1.3951,11.3067,8.7181,11.6724,3.3237,27.619,27.619,77.9979,21.5423,21.5423,12.3388,12.0342,63.4,#N/A N/A,2.7231,-3865,26495
2015,40.5106,25.7338,1.4332,12.2394,9.3632,12.642,3.4659,30.3698,30.3698,76.4499,23.2177,23.2177,11.7098,11.4124,72.1,#N/A N/A,2.9707,-2820,27639
