Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,15.6319,10.8967,141.4796,6.8086,5.5438,8.2809,5.0879,3.6369,#N/A N/A,7.2041,62.8428,#N/A N/A,#N/A N/A,6.773,-0.4059,-0.6499,100.62,60.3832,0.0975,-2713,#N/A N/A,0.4909,0.5438,0.6575,100.62,74.657,10.4303,18.3815,28.8118,0.1163,0.1404,0.0843,-25852,11500,2200
2012,14.1674,5.6687,208.078,5.9979,6.3707,#N/A N/A,14.8337,11.7163,#N/A N/A,19.0127,55.6151,663.3551,395.1158,7.3145,8.3839,13.0952,86.8674,51.741,0.1181,-11211,-74.3879,0.5107,0.5685,0.7001,86.8674,72.9464,10.9971,18.4405,29.4376,0.1118,0.1376,0.082,-21913,8900,8800
2013,13.0669,-1.9851,-71.9735,4.4033,5.7802,26.6321,4.2416,3.0583,36.5779,5.2405,54.9415,658.7948,415.7271,9.2075,8.3397,13.1393,86.5608,54.6235,0.0791,-11584,-71.0196,0.5065,0.5792,0.7415,86.5608,68.3049,13.1263,20.9042,34.0306,0.0797,0.0887,0.056,-19068,10201,9968
2014,12.8385,10.0016,26.7785,3.7286,4.7918,#N/A N/A,4.8885,3.6353,34.152,5.8765,56.2458,439.2157,293.4475,9.5398,12.806,18.4976,81.2445,54.2808,0.0911,-10817,-40.8559,0.504,0.5789,0.7159,81.2445,70.4001,13.6667,21.4773,35.144,0.0727,0.0715,0.0478,-21396,11502,11320
2015,11.3502,-1.9331,-82.8599,0.2304,0.8565,0.3241,0.8544,0.5941,4.8704,1.4199,56.605,487.6463,327.3549,15.367,11.6078,16.9734,82.7703,55.5633,0.1217,-9577,-38.606,0.4216,0.4959,0.6405,82.7703,65.8231,14.4782,22.2588,36.737,0.0043,0.0042,0.0028,-28011,10922,10689
