Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,35.8795,22.0444,#N/A N/A,16.1052,14.9399,49.9695,6.9283,1.4968,3.723,3.6937,25.239,62.9134,61.5065,2.3733,40.1171,60.0372,37.7714,36.9267,0.4032,9333,43.5328,0.8945,1.1454,1.6225,37.7714,55.1311,34.0775,12.6193,46.6968,0.43,0.1391,0.1359,2561,5450,5024
2012,42.7436,27.1577,#N/A N/A,-13.3887,-24.5149,#N/A N/A,-18.9661,-5.1269,-13.6585,-5.8914,29.4135,84.1204,83.1814,7.7704,34.9659,52.9185,44.5152,44.0184,0.1645,12533,66.0222,0.5505,0.8096,1.4148,44.5152,38.9121,30.066,10.5433,40.6094,-0.3817,-0.1242,-0.1228,2032,5800,5400
2013,41.2274,-3.9808,#N/A N/A,27.7906,26.5827,31.4165,17.8286,4.5819,12.2683,8.5171,25.2315,64.3221,64.3221,1.7253,39.2268,58.6868,37.7486,37.7486,0.6285,10798,49.3465,0.6187,0.9875,1.7013,37.7486,36.365,37.416,8.9852,46.4012,0.9331,0.2809,0.2809,2801,5800,5800
2014,45.2232,8.7242,-66.4994,17.029,14.4435,55.3181,5.4935,1.4783,3.7424,3.4478,24.3183,62.0625,59.7749,2.1162,39.1836,58.7317,36.4504,35.1068,0.6552,9867,41.7209,0.6484,0.9081,1.2464,36.4504,52.0259,36.9731,8.82,45.7931,0.4354,0.19,0.183,1405,5800,5800
2015,50.3032,26.6717,#N/A N/A,29.2528,0.2924,2994.44,-9.4748,-2.9979,-8.4363,-64.0753,24.7544,76.512,76.512,1.5163,32.3536,52.7265,40.3422,40.3422,0.561,7723,34.6044,0.7201,0.8293,1.0259,40.3422,70.1876,25.6804,9.0067,34.6871,0.5279,0.358,0.358,265,6200,5677
