Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,38.8065,9.674,128.869,10.0872,9.6476,32.0463,5.729,5.2644,20.8091,13.2933,27.1853,111.9021,111.1325,2.2319,24.2938,46.0273,51.5056,51.1513,0.3218,2093,54.6047,0.5457,1.312,1.947,51.5056,28.0249,73.5003,69.3429,142.8432,0.3735,0.3349,0.3326,3433,1991,1824
2012,38.9923,10.8918,42.3927,11.1589,10.7289,24.1077,7.3564,7.4599,31.799,18.2461,25.6014,113.3272,110.0031,1.7303,22.5907,45.5808,51.6554,50.1403,0.39,2200,63.8421,0.4003,1.1648,1.8082,51.6554,22.1392,68.7578,63.9082,132.666,0.4487,0.4647,0.4511,2992,1200,1090
2013,41.4964,-9.2241,-14.0639,9.7173,7.8227,20.9082,6.9642,6.2194,25.7385,15.9132,25.2551,98.6955,82.8944,2.3126,25.5889,48.7638,48.1277,40.4225,0.4456,1617,37.4132,0.5364,1.1121,1.7294,48.1277,31.0175,73.1079,76.2558,149.3637,0.2943,0.3898,0.3274,3254,1200,1081
2014,41.7175,5.5728,243.3581,10.1016,8.5945,20.6362,22.6498,20.3585,71.8399,41.4331,21.4713,69.0592,68.3698,1.7993,31.0912,57.3222,39.5862,39.1911,0.5258,1661,31.9546,0.422,1.0143,1.7446,39.5862,24.1891,64.1852,77.0697,141.2549,0.3485,0.4273,0.4231,3079,1200,0
2015,42.7669,7.6761,-34.9427,11.9206,9.2188,18.291,13.6849,12.5876,41.5744,25.8547,22.8914,77.4903,68.2046,1.7399,29.5409,55.825,43.259,38.0752,0.3807,2831,53.7702,0.2427,0.728,1.3216,43.259,18.361,57.2095,75.7528,132.9622,0.3756,0.5183,0.4562,1568,1500,1500
