Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,50.0459,-58.0261,#N/A N/A,9.8595,8.7173,60.6928,8.3104,2.4736,6.1278,5.3527,10.5681,24.8323,19.2742,2.4484,42.5578,79.5106,19.7443,15.3251,0.7296,-6160,-56.0663,1.0176,1.1952,1.9695,19.7443,51.6672,105.2304,77.6045,182.8349,0.0862,0.358,0.2778,8444,1500,1500
2012,50.5425,7.6933,82.9384,10.4596,8.9967,#N/A N/A,14.1168,5.8624,14.386,12.0767,11.0202,29.44,21.6724,1.2541,37.4327,76.5751,22.5437,16.5957,0.5694,-3556,-67.4251,1.3345,1.8236,2.2983,22.5437,58.0634,75.9323,46.4684,122.4007,0.2249,0.7593,0.559,4953,1500,1500
2013,49.9885,6.0344,-23.9206,14.4401,13.9687,27.7366,10.1288,6.6221,20.7808,16.0349,14.6936,57.0597,56.9372,1.2725,25.7512,63.3611,36.1537,36.0761,0.5743,-1740,-52.8875,1.0804,1.6444,2.2192,36.1537,48.6826,78.8343,43.1207,121.955,0.3766,0.6756,0.6742,4066,1500,1500
2014,49.9277,-28.4088,24.7446,15.208,14.132,#N/A N/A,17.6489,8.9605,31.7447,21.0705,20.7662,67.2588,67.1495,2.2271,30.875,59.4959,40.0163,39.9512,0.2255,-764,-20.7102,1.0016,1.4267,2.1801,40.0163,45.9402,95.2505,50.3368,145.5873,0.2941,0.3854,0.3848,3800,1500,1500
2015,48.1381,-5.5564,18.1984,-17.1059,-19.7415,#N/A N/A,22.0881,11.6638,40.6318,22.6624,32.6202,124.3144,124.1682,#N/A N/A,26.24,44.3561,55.1411,55.0762,-0.2015,-554,-20.0289,1.7573,2.3836,3.0573,55.1411,57.4793,86.2073,41.4066,127.6138,-0.4471,-0.2962,-0.2959,4629,2100,2100
