Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,19.364,-1.4543,#N/A N/A,4.0457,3.0815,#N/A N/A,3.0989,1.1832,3.7709,3.4397,44.3666,149.4421,149.4421,28.2758,29.6881,36.7807,54.9659,54.9659,0.0703,2615.21,81.869,2.3245,4.6744,12.2465,54.9659,18.9807,84.2905,607.9682,692.2587,0.2252,0.0319,0.0319,6210.74,225,146.1
2012,18.8664,0.695,-3.2143,3.3577,3.1652,#N/A N/A,2.9786,1.0277,3.4757,2.356,45.429,154.2343,154.2343,33.1559,29.4546,36.134,55.7311,55.7311,-0.0623,3050.73,92.3477,2.1016,3.5568,11.8426,55.7311,17.7457,121.7536,619.8746,741.6281,0.1971,0.025,0.025,5717.31,225,157
2013,21.4941,32.621,636.585,7.7049,5.4106,#N/A N/A,16.5433,6.9594,21.8678,8.9445,44.4466,134.8747,134.8747,13.3739,32.954,39.6749,53.5114,53.5114,-0.0922,3354.04,83.8257,2.5777,3.5874,13.9971,53.5114,18.4159,56.0622,534.1575,590.2197,0.6514,0.0687,0.0687,6310.82,150,42.5
2014,14.0166,44.5774,-29.3687,11.5556,11.49,25.9575,8.082,4.4341,12.4705,6.4093,41.6157,112.5342,112.5342,6.5506,36.9805,44.7359,50.3432,50.3432,-0.1722,3794.52,81.9999,1.3668,2.0405,12.1584,50.3432,11.2412,28.6719,416.5343,445.2062,1.0451,0.1462,0.1462,7322.63,950,#N/A N/A
2015,23.317,31.0815,33.198,11.8517,12.4654,35.1719,8.2125,5.2811,14.0313,6.7846,36.0691,96.5661,96.5661,4.8526,37.3517,48.696,47.0238,47.0238,-0.1692,3775.54,71.8972,1.9357,2.1399,19.0688,47.0238,10.1509,12.5643,438.6042,451.1685,2.015,0.1978,0.1978,8268.04,1500,1500
