Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,INT_INVEST_INC_TO_INVEST_ASSET,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,TOT_INS_RES_TO_TOT_CAP,TOT_INS_RES_TO_TOT_ASSET,EQY_AND_RE_INVEST_TO_TOT_INVEST,OPER_INC_TO_NET_PREM_EARN,INS_RES_GROWTH,NET_PREM_EARN_TO_SHRHLDR_EQY,TANGIBLE_COMMON_EQUITY,REALIZED_EQUITY
2011,23.1191,32.9161,3.2132,13.9462,12.0371,18.1087,6.7902,6.1172,24.613,14.7064,80.2484,19.7516,11.8016,190.5604,59.0175,0.1532,32.2087,5.8314,66.0259,3619.35,3993.28
2012,21.4301,31.2478,3.0363,12.6249,11.1485,16.2289,6.1052,6.1213,26.3086,20.4831,79.1712,20.8288,16.2167,204.2348,60.0215,0.1637,30.1805,4.3981,68.8231,3462.74,#N/A N/A
2013,21.3397,30.897,2.9935,12.8767,11.094,16.0542,5.5315,6.9699,30.0044,20.5359,76.9205,23.0795,15.7963,195.8211,59.1368,0.1304,29.6347,11.5254,65.4884,3920.2,#N/A N/A
2014,20.2317,30.7491,2.859,12.9876,10.9535,15.8171,5.2172,6.706,32.3047,26.2388,75.5831,24.4169,19.8321,233.1335,64.029,0.0156,27.638,4.8985,80.8262,3334.75,#N/A N/A
2015,21.6756,32.7017,2.8231,12.8145,10.878,15.7595,5.5034,6.07,26.1956,21.1205,79.2421,20.7579,16.7364,205.3274,60.0416,0.0099,30.3512,4.4969,60.376,4255.88,#N/A N/A
