Year,GROSS_MARGIN,OPER_MARGIN,PRETAX_MARGIN,PROF_MARGIN,NET_INC_GROWTH,EFF_TAX_RATE,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,TOT_DEBT_TO_TOT_CAP,GROWTH_IN_CAP,BS_TOT_CAP,PFD_STOCK_TO_TOT_CAP,COM_EQY_TO_TOT_CAP,NET_DEBT,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,56.9831,15.9099,11.6398,7.5272,14.1069,35.332,9.3102,2.8579,6.4942,48.6542,4.2543,21957,0.9701,50.3757,10345,0.1336,0.8474,1.4502,48.6542,9.2123,47.0049,22.3827,69.3876,0.8379,0.1985,0.1984,1139,2250,2053
2012,61.1904,17.3754,12.8977,8.2415,5.8824,36.1011,9.3435,2.8109,6.511,47.8185,1.6714,22324,0.9541,51.2274,10027,0.2169,0.7516,1.2179,47.8185,17.812,48.1955,25.6909,73.8864,0.7496,0.2207,0.2097,651,2250,2077
2013,68.108,19.191,14.2845,9.3617,7.4388,34.463,9.7661,2.8375,6.7551,48.792,3.8255,23178,#N/A N/A,51.208,10915,0.0999,0.5404,0.8748,48.792,11.417,50.0743,32.2969,82.3711,0.5929,0.2324,0.2068,-494,2250,2119
2014,67.1847,18.1642,12.4494,8.5964,-6.9238,30.9493,8.8082,2.5948,6.5141,50.3668,6.4415,24671,0,49.6332,11752,0.1425,0.5156,0.8226,50.3668,17.322,51.7482,31.197,82.9452,0.4744,0.2139,0.1806,-839,2250,1050
2015,65.067,17.0988,12.8493,8.4527,2.8249,34.2169,8.799,2.578,5.904,50.6296,3.3237,25491,0,49.3351,12207,0.1861,0.6388,0.9891,50.6296,18.8105,48.9624,29.7225,78.6848,0.588,0.1913,0.1712,-41,2250,2239
