Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,T12_NET_INT_MARGIN,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,AVG_COM_EQY_TO_AVG_ASSET,COM_EQY_TO_TOT_ASSET,BS_TIER1_CAP_RATIO,BS_TOT_CAP_TO_RISK_BASE_CAP,AVG_EARN_ASSET_TO_AVG_INT_LIAB,INT_EXP_TO_INT_BEAR_LIAB,T12_NET_INT_MARGIN,TOT_EXP_TO_AVG_EARN_ASSET,INT_INC_TO_AVG_TOT_LOAN,TANGIBLE_EQUITY,REALIZED_EQUITY
2011,21.6228,31.9752,2.9849,26.1522,7.4342,5.2298,7.6881,47.6041,430.2526,409.2175,18.8589,81.1411,77.1741,11.2701,11.0642,11.1,13.1,72.5588,2.6843,7.4342,36.7069,15.4224,12619,17147
2012,23.2161,29.5716,3.2897,27.8495,6.1247,5.8803,8.2885,41.0821,335.1814,316.9629,22.9789,77.0211,72.8346,11.6737,12.2567,12.3,#N/A N/A,71.288,2.3148,6.1247,35.4468,10.7701,14473,19670
2013,20.4437,30.5224,2.9249,23.5297,6.6346,5.5007,7.9172,40.6732,329.8051,312.2578,23.2664,76.7336,72.651,12.2946,12.3325,11.9,#N/A N/A,68.7302,2.1933,6.6346,39.18,10.6381,14712,19813
2014,23.9219,32.0614,3.4967,27.6796,7.0407,6.6563,9.7975,39.3487,309.5558,283.8018,24.4167,75.5833,69.295,12.5221,12.7113,12.5,14.4,70.2077,1.9177,7.0407,37.727,10.4819,15481,20922
2015,26.2987,34.5457,3.7667,29.0722,7.4161,7.2675,11.1031,38.6134,297.1751,280.3415,25.1778,74.8222,70.5839,12.855,12.9935,13.6,15.6,71.0432,1.6436,7.4161,36.4624,10.3173,16795,22592
