Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,T12_NET_INT_MARGIN,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,AVG_COM_EQY_TO_AVG_ASSET,COM_EQY_TO_TOT_ASSET,AVG_EARN_ASSET_TO_AVG_INT_LIAB,INT_EXP_TO_INT_BEAR_LIAB,T12_NET_INT_MARGIN,INT_INC_TO_AVG_TOT_LOAN,TANGIBLE_EQUITY,REALIZED_EQUITY
2011,19.656,21.4198,0.8956,10.9733,2.5222,8.0578,10.4496,6.2867,76.9138,69.5105,54.9043,42.2289,38.1642,8.1613,8.1737,300.4262,9.2459,2.5222,#N/A N/A,9799,#N/A N/A
2012,16.0439,26.0539,0.847,11.3225,1.8229,5.4151,7.7581,6.1032,89.842,78.6271,50.5825,45.4443,39.7715,7.4806,6.7933,259.2767,6.9808,1.8229,0,8248,#N/A N/A
2013,13.5895,27.0598,0.7707,11.3827,1.7351,5.0953,7.0011,5.8525,86.7246,81.2143,51.6679,44.8088,41.9617,6.7706,6.7484,279.4687,7.1066,1.7351,0,8297,#N/A N/A
2014,19.4818,24.9746,0.9552,15.4362,1.7735,8.2437,11.0102,6.1947,109.3262,103.2227,45.0407,49.2413,46.4922,6.1882,5.6662,285.7439,7.3483,1.7735,0,7869,7597
2015,22.6864,21.3977,1.1037,19.8456,1.536,13.006,16.5632,2.1921,40.1526,37.6908,64.6455,25.9569,24.3654,5.5613,5.4593,324.7476,7.935,1.536,0,7992,7462
