Year,GROSS_MARGIN,OPER_MARGIN,PRETAX_MARGIN,PROF_MARGIN,NET_INC_GROWTH,EFF_TAX_RATE,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,TOT_DEBT_TO_TOT_CAP,GROWTH_IN_CAP,BS_TOT_CAP,PFD_STOCK_TO_TOT_CAP,COM_EQY_TO_TOT_CAP,NET_DEBT,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,55.3888,24.9046,22.1827,13.2621,-1.7588,40.4817,16.9806,5.3391,10.1876,48.2918,6.0942,18645,#N/A N/A,51.6653,8703,0.0803,0.5931,1.4494,48.2918,5.5435,52.9564,75.1369,128.0933,0.8428,0.3756,0.3262,1566,1000,923
2012,57.1532,24.7495,21.5182,13.5662,-3.9003,40.9815,15.1033,5.0326,9.6368,44.0706,-1.4964,18366,#N/A N/A,55.9185,7238,0.282,0.7068,1.3226,44.0706,21.3245,50.1261,79.851,129.9771,0.9273,0.3675,0.3388,954,977,965
2013,61.9773,23.2901,20.5603,13.0355,-15.1697,36.5987,12.114,4.1432,8.2636,43.2071,3.3595,18983,0,56.7877,7800,0.1003,0.4665,1.0244,43.2071,9.7958,49.375,101.2183,150.5934,0.6031,0.3407,0.2777,92,1000,996
2014,64.5265,23.0638,20.616,12.4699,-2.5098,39.5134,11.1042,3.8694,7.5641,42.8466,7.001,20312,0,57.1485,8186,0.161,0.6516,1.1799,42.8466,13.6414,52.8386,104.7207,157.5593,0.7506,0.2924,0.2642,551,4300,4049
2015,64.3028,24.0952,22.5611,13.9445,22.1239,38.1922,12.7601,4.4773,8.4548,42.7457,4.7853,21284,0,57.2496,8672,0.1156,0.5578,1.1843,42.7457,9.7597,50.9813,96.0872,147.0685,0.7542,0.3193,0.2883,641,4300,4081
