Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,INT_INVEST_INC_TO_INVEST_ASSET,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,LOSS_RATIO_NL,EXP_RATIO_NL,COMB_RATIO_NL,TOT_INS_RES_TO_TOT_CAP,TOT_INS_RES_TO_TOT_ASSET,EQY_AND_RE_INVEST_TO_TOT_INVEST,OPER_INC_TO_NET_PREM_EARN,INS_RES_GROWTH,NET_PREM_EARN_TO_SHRHLDR_EQY,TANGIBLE_COMMON_EQUITY,REALIZED_EQUITY
2011,19.8563,30.8408,1.7134,7.2873,7.425,10.8277,5.4012,12.4245,51.3659,47.8591,56.6246,29.0857,27.1,61,33.8,94.8,116.748,49.8709,2.2205,52.4789,-1.6699,28.1961,17594,18220
2012,15.7548,23.8994,1.4016,5.7063,6.4558,8.4832,4.1068,11.9586,47.9491,47.0115,58.2909,27.9499,27.4034,65.5,33,98.5,117.9077,50.4477,1.8908,41.6174,-0.1814,28.4575,17864,#N/A N/A
2013,9.6138,20.6576,0.7315,2.9714,4.4155,5.5651,4.7141,11.5095,47.3303,47.135,57.4249,27.1794,27.0672,70.8,34.2,105,118.9783,50.383,1.6928,26.7219,6.1784,27.8894,18463,#N/A N/A
2014,15.582,28.8098,0.7439,3.0578,3.9677,7.8165,4.606,12.9399,53.1607,44.6346,55.2,29.3447,24.6383,64.6,33.3,97.9,109.4326,48.2555,1.6451,37.1613,-4.3208,29.1938,19101,#N/A N/A
2015,12.6353,25.2486,0.7467,3.0513,3.7815,6.5412,4.2238,13.6129,55.332,51.8568,54.5897,30.2056,28.3085,64.6,33.1,97.7,103.007,46.4226,1.3991,32.0022,-5.6902,29.2576,18906,#N/A N/A
