Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,AVG_COM_EQY_TO_AVG_ASSET,COM_EQY_TO_TOT_ASSET,TANGIBLE_EQUITY,REALIZED_EQUITY
2011,23.9069,23.6268,2.9706,6.1367,5.1131,5.6519,35.1255,86.8899,86.8899,49.9613,43.4113,43.4113,48.4074,40.4254,1043.5,#N/A N/A
2012,22.191,31.5053,3.6677,8.9076,3.8559,4.7065,34.0234,81.0743,78.4249,51.6479,41.8731,40.5048,41.1743,41.9657,906.9,#N/A N/A
2013,20.5061,31.4712,3.676,8.2393,3.9344,4.9909,29.0721,61.1461,61.1461,58.8408,35.9789,35.9789,44.615,47.5452,713.1,#N/A N/A
2014,27.0249,26.8403,5.1155,11.2547,6.8056,8.2058,29.9437,68.7546,68.7546,56.9082,39.127,39.127,45.4518,43.5515,846.3,#N/A N/A
2015,27.1046,27.998,4.9753,11.8204,6.5093,8.5932,32.8919,80.7879,80.7879,51.9995,42.0093,42.0093,42.0906,40.7139,1459.2,8277.2
