Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,49.603,40.3627,#N/A N/A,44.9471,43.0533,41.7595,25.0744,8.468,15.4128,11.8916,18.7473,35.1663,34.9676,0.9557,53.3103,71.1913,25.0354,24.8939,0.8262,8007,32.8465,0.038,0.6436,0.9875,25.0354,3.8506,55.5363,32.8599,88.3962,1.5423,0.6714,0.6676,-44,3300,2400
2012,52.3389,39.6626,51.1873,48.8572,47.9216,43.3585,27.1435,9.6024,17.7076,13.6282,13.8633,25.9886,24.4364,0.5794,53.3438,76.6826,19.9287,18.7384,1.3793,6921,23.8713,0.0594,0.6798,0.9678,19.9287,6.142,56.3342,27.6391,83.9734,1.6625,1.2161,1.1434,-160,3300,3300
2013,44.3492,1.5928,-56.3482,29.8479,28.4257,58.9707,11.6629,3.5482,6.6528,5.1967,20.3253,41.0078,37.7192,1.0094,49.5645,68.9257,28.265,25.9983,0.6889,12185,38.8912,0.0289,0.5863,0.8963,28.265,3.2245,65.7571,29.957,95.7141,0.925,0.451,0.4148,-574,3300,2800
2014,39.9975,-8.0201,11.5442,30.429,27.907,43.6876,14.1436,3.6478,6.8913,5.392,15.7779,29.1203,28.9616,0.9633,54.1817,74.0192,21.5546,21.4371,1.0113,7819,22.0919,0.4055,1.0336,1.3545,21.5546,29.9403,69.8267,34.6729,104.4996,1.0217,0.4965,0.4938,1666,3300,3300
2015,37.8095,-18.8835,#N/A N/A,-20.2953,-21.9436,#N/A N/A,-42.2076,-9.1896,-18.2125,-11.1994,20.0976,43.3551,43.3551,5.3017,46.3558,65.86,28.5537,28.5537,0.7524,10476,37.2321,0.2099,0.7623,1.7508,28.5537,11.9875,70.9413,36.6559,107.5972,-0.7091,-0.231,-0.231,2751,5300,3700
