Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,INT_INVEST_INC_TO_INVEST_ASSET,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,TOT_INS_RES_TO_TOT_CAP,TOT_INS_RES_TO_TOT_ASSET,EQY_AND_RE_INVEST_TO_TOT_INVEST,OPER_INC_TO_NET_PREM_EARN,INS_RES_GROWTH,NET_PREM_EARN_TO_SHRHLDR_EQY,TANGIBLE_COMMON_EQUITY,REALIZED_EQUITY
2011,9.1859,14.751,0.4935,8.062,7.7256,9.0624,5.088,1.1616,18.4314,17.2558,79.2789,14.6122,13.6802,1101.32,87.5465,2.3497,27.1185,4.2069,35.9686,7997.8,#N/A N/A
2012,10.3002,22.8642,0.4455,7.0238,7.0429,9.1305,4.924,1.1333,19.7215,18.4792,76.5363,15.0941,14.1433,1173.18,88.0825,2.3806,35.7523,1.8078,30.7753,7095,#N/A N/A
2013,10.4177,14.0208,0.5217,8.7903,7.9413,9.2363,4.9925,1.6759,29.6943,29.2476,73.2083,21.7387,21.4117,1142.95,88.1127,2.281,33.7672,9.856,32.9728,7675.3,7897.7
2014,12.0997,16.7171,0.4933,9.6313,8.3599,10.038,4.2978,1.3219,30.1285,28.4798,71.4939,21.5401,20.3613,1482.14,90.9556,3.1442,40.1826,32.7989,31.4649,6574.9,8433.6
2015,14.2676,21.3058,0.5355,11.6303,10.0137,12.7249,4.8415,1.1681,26.5643,26.2736,74.9774,19.9172,19.6993,1553.78,91.1276,3.3723,43.7938,5.4325,36.1798,7303.1,#N/A N/A
