Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,38.3901,4.787,-2.966,16.2518,14.8612,33.1419,9.9359,5.8834,9.0309,8.198,15.6649,24.64,24.64,1.2736,63.5751,80.2311,19.7689,19.7689,0.3003,984.194,18.5965,0.6626,1.3762,3.3915,19.7689,19.5385,22.0584,93.2112,115.2695,1.6248,0.6014,0.6014,1154.32,580,#N/A N/A
2012,34.1741,14.5063,-4.1165,14.0846,12.6888,34.4308,8.32,5.2724,8.7125,7.4192,22.7152,40.1005,39.1321,2.0195,56.6457,71.3773,28.6227,27.9315,0.353,1840.84,35.6517,0.3723,0.9356,2.6638,28.6227,13.9771,22.9149,91.8248,114.7397,1.2615,0.3852,0.3759,1026.49,1000,1000
2013,34.5745,6.7306,18.3702,15.4365,13.8579,33.4149,9.2273,5.9977,10.4633,8.4366,22.3411,39.1897,38.2186,1.7375,57.0075,71.8444,28.1556,27.4579,0.4241,1761.4,34.2099,0.4296,0.9553,2.6729,28.1556,16.0732,20.4609,90.1989,110.6598,1.5255,0.4626,0.4512,998.4,1000,1000
2014,36.1993,-4.868,3.8589,16.3797,15.1445,33.4824,10.0738,6.2481,11.1059,8.5909,24.4619,44.0651,37.2415,1.8856,55.5131,69.413,30.587,25.8505,0.3862,2062.8,41.0132,0.1733,0.5226,1.7375,30.587,9.9734,20.268,95.6703,115.9383,1.0375,0.4906,0.4147,653.3,1500,1251.6
2015,34.5829,1.4633,-38.9774,13.5612,9.1872,34.0535,6.0586,2.6668,5.6931,3.8885,36.7178,87.0747,83.8858,5.9313,42.1681,53.4546,46.5454,44.8408,0.1188,6045.3,85.3025,0.1228,0.5434,1.9401,46.5454,6.331,23.7073,102.6489,126.3562,0.7549,0.1299,0.1251,961.3,1500,1274
