Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,30.0752,2.3901,-9.8814,18.0154,17.9213,34.4652,11.2919,10.5889,16.0491,13.4332,14.2411,22.401,18.151,0.5884,63.5737,73.7961,16.5311,13.3947,1.3997,-116.771,-8.3182,1.7371,2.7856,3.176,16.5311,54.6949,49.8806,#N/A N/A,#N/A N/A,1.3615,1.3736,1.113,494.543,252,252
2012,30.4592,5.3208,13.7213,17.8254,17.499,32.4109,12.1925,11.5759,17.3504,13.7843,13.9479,19.9192,4.8869,0.5272,70.0223,82.3488,16.4033,4.0243,1.6833,-57.13,-4.3247,0.8312,1.4843,1.7084,16.4033,48.6537,49.1139,1.4584,50.5723,0.8473,5.0706,1.244,269.605,252,252
2013,32.5319,3.4277,10.7549,19.1158,18.9663,32.4364,13.0563,12.5845,17.919,15.2904,11.4949,16.3231,13.4727,0.4404,70.4212,83.0021,13.5485,11.1826,1.9591,-14.974,-1.0087,1.0742,2.146,2.4932,13.5485,43.0835,48.477,1.4574,49.9345,1.5515,1.8626,1.5374,344.207,350,350
2014,33.6611,10.3333,0.1924,18.5292,17.0748,31.4861,11.8563,8.5721,16.1764,11.4924,40.4894,94.4084,90.8084,2.5392,42.8875,50.4371,47.6169,45.8012,0.3031,1244.97,75.8167,0.8334,1.694,2.2002,47.6169,37.8785,44.4562,#N/A N/A,#N/A N/A,1.2869,0.2664,0.2563,356.718,252,252
2015,31.795,18.5327,31.9191,17.6404,16.0584,33.024,13.1953,8.7026,19.5223,11.3059,38.9979,86.0143,83.0067,2.1423,45.3388,53.2624,45.8133,44.2114,0.3847,1166.83,67.755,0.9753,1.9304,2.3289,45.8133,41.877,40.1995,#N/A N/A,#N/A N/A,1.4557,0.3072,0.2965,394.04,350,218.7
