Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,T12_NET_INT_MARGIN,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,AVG_COM_EQY_TO_AVG_ASSET,COM_EQY_TO_TOT_ASSET,BS_TIER1_CAP_RATIO,AVG_EARN_ASSET_TO_AVG_INT_LIAB,T12_NET_INT_MARGIN,INT_INC_TO_AVG_TOT_LOAN,TANGIBLE_EQUITY,REALIZED_EQUITY
2011,35.3632,29.8729,14.3304,18.7263,0,17.5401,23.669,9.151,12.6815,12.2933,88.512,11.2247,10.8811,76.1238,72.1604,63,206.1315,0,0,5743.35,7553.28
2012,36.7533,30.616,15.713,23.5672,0,18.1889,26.5707,15.7409,25.437,24.1541,75.5009,19.2052,18.2365,66.3771,61.8817,53,140.6399,0,0,6974.28,8484.27
2013,37.7158,28.4781,13.5407,21.6597,0,16.0593,21.0871,18.8266,30.1827,26.7223,73.2331,22.1037,19.5696,62.137,62.3754,54,139.6348,0,0,7645.3,9139.3
2014,37.9036,28.2793,14.2672,22.1672,0,16.9145,22.7633,14.9126,22.7844,22.7844,76.8798,17.5166,17.5166,63.9457,65.451,58,152.9475,0,0,8448.1,#N/A N/A
2015,40.1536,29.2674,15.0204,21.8865,0,17.4139,23.2589,13.138,18.5513,16.3932,79.3638,14.723,13.0102,68.2172,70.82,#N/A N/A,188.7047,0,0,10121.3,#N/A N/A
