Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,INT_INVEST_INC_TO_INVEST_ASSET,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,LOSS_RATIO_NL,EXP_RATIO_NL,COMB_RATIO_NL,TOT_INS_RES_TO_TOT_CAP,TOT_INS_RES_TO_TOT_ASSET,EQY_AND_RE_INVEST_TO_TOT_INVEST,OPER_INC_TO_NET_PREM_EARN,INS_RES_GROWTH,NET_PREM_EARN_TO_SHRHLDR_EQY,TANGIBLE_COMMON_EQUITY
2011,10.6853,25.9762,0.5367,6.7224,8.1185,11.3088,2.3223,2.0754,33.4447,29.3951,73.3896,24.5449,21.5729,65.3,28.3,93.6,1047.1,88.5386,25.7972,20.3771,3.0963,69.199,18704
2012,1.377,#N/A N/A,0.2293,3.2936,3.7944,2.9454,2.0816,2.1579,31.1992,31.1992,74.7073,23.3081,23.3081,78.9,27.9,106.8,950.1035,87.962,23.283,5.7425,-5.5624,65.5683,19924
2013,-2.2242,#N/A N/A,-0.0126,-0.3736,0.8971,0.232,5.8299,2.4411,33.2877,30.3641,73.6228,24.5073,22.3549,73.5,28.4,101.9,869.735,86.6317,22.2145,0.4915,-2.8454,60.7253,21237
2014,7.1156,16.7233,0.0611,0.8138,1.8333,12.4559,4.3516,2.3852,35.0595,32.7427,74.0414,25.9586,24.2431,69.1,30.4,99.5,964.4264,88.615,20.948,26.0147,-4.7795,69.9868,18407
2015,9.1275,20.6004,0.3052,4.2419,4.3546,8.149,3.6295,2.4933,32.6335,30.1976,75.3957,24.6043,22.7677,67.4,29.8,97.2,861.6255,87.315,1.387,15.3869,-13.1226,71.2393,18222
