Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,INT_INVEST_INC_TO_INVEST_ASSET,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,LOSS_RATIO_NL,EXP_RATIO_NL,COMB_RATIO_NL,TOT_INS_RES_TO_TOT_CAP,TOT_INS_RES_TO_TOT_ASSET,EQY_AND_RE_INVEST_TO_TOT_INVEST,OPER_INC_TO_NET_PREM_EARN,INS_RES_GROWTH,NET_PREM_EARN_TO_SHRHLDR_EQY,TANGIBLE_COMMON_EQUITY
2011,23.1355,32.6661,1.0171,5.362,6.5468,11.0272,4.4706,16.0887,303.9921,296.793,16.1745,49.1692,48.0047,85.7,31.1,116.8,147.0219,48.1072,3.0204,57.1879,-36.0689,39.8679,31210
2012,0.1939,#N/A N/A,3.3356,28.7708,11.1853,1.2494,4.1393,13.6068,74.1131,67.2527,54.5408,40.4219,36.6801,78.3,30.5,108.8,179.3553,60.3746,1,6.5658,1.5569,35.1527,100165
2013,4.0706,#N/A N/A,0.6241,3.4459,3.1212,3.1228,5.6673,8.8402,49.4888,46.2348,66.4407,32.8807,30.7187,73.9,34.6,108.5,228.8692,61.5328,1.0308,13.6936,1.1036,38.4301,96533
2014,13.6016,3.8429,1.667,9.1549,7.6827,7.9295,4.8478,7.702,41.498,38.1835,70.3552,29.196,26.8641,65.9,35.2,101.1,239.7069,63.2353,1.2597,30.6942,1.3987,37.087,98995
2015,16.3044,27.8735,1.4247,7.2615,6.2306,8.6877,4.7229,6.0547,29.2026,27.3148,77.1888,22.5411,21.084,67.4,34.8,102.2,253.1977,68.0108,1.5302,32.7992,2.4364,34.7285,105444
