Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,INT_INVEST_INC_TO_INVEST_ASSET,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,TOT_INS_RES_TO_TOT_CAP,TOT_INS_RES_TO_TOT_ASSET,EQY_AND_RE_INVEST_TO_TOT_INVEST,OPER_INC_TO_NET_PREM_EARN,INS_RES_GROWTH,NET_PREM_EARN_TO_SHRHLDR_EQY,TANGIBLE_COMMON_EQUITY
2011,11.7173,29.1108,0.6264,11.0918,6.7687,9.3313,4.7441,5.8386,97.2389,72.9693,50.2964,48.9076,36.7009,700.5167,83.628,2.7265,30.7558,12.1102,55.4543,31356
2012,10.3834,29.228,0.6148,10.1968,6.8979,9.3972,4.9847,5.3489,96.8557,65.0629,50.3595,48.776,32.7653,778.3436,85.3545,2.1151,25.6121,17.263,69.7483,33030
2013,0.9052,27.7344,0.0782,1.4652,2.2457,2.9923,3.2081,4.6573,85.7881,59.1954,53.3704,45.7855,31.5928,847.2395,86.1807,2.0408,3.2087,15.4547,167.0945,34071
2014,-3.9193,#N/A N/A,-0.0926,-1.8243,0.5098,-0.3729,2.3696,4.6626,96.7175,62.4242,50.3964,48.7422,31.4596,905.8313,86.6504,2.4889,-1.01,3.7412,73.1223,30461
2015,3.2807,19.662,0.1843,3.551,4.1144,5.0788,4.1293,4.3145,79.1884,39.4422,55.3788,43.8536,21.8426,872.3941,85.829,2.3479,12.6071,3.7725,69.1705,37809
