Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,71.783,9.5051,-4.845,18.0788,18.5349,18.7174,15.0657,12.8891,17.6797,16.931,2.3653,3.1952,0,0.1314,74.0267,96.9037,3.0963,0,6.0144,-354.3,-27.083,1.1726,1.9935,3.0568,3.0963,38.3595,66.429,165.1574,231.5864,0.7744,#N/A N/A,6.2584,694.8,500,458.2
2012,70.8209,16.0055,8.578,17.878,16.895,16.5374,14.101,12.6317,17.8905,16.8613,7.594,11.2415,11.2415,0.42,67.5536,89.8945,10.1055,10.1055,2.0911,-300.1,-22.4307,1.344,2.1906,3.486,10.1055,38.5537,61.0037,173.2222,234.2259,0.8953,1.9953,1.9953,833.3,500,349.6
2013,73.9629,13.1657,23.8699,20.657,20.5885,25.032,15.4348,13.9553,20.815,18.7842,8.5213,12.7966,12.7966,0.4209,66.5901,88.6552,11.3448,11.3448,1.9128,-332.1,-22.4498,1.5009,2.4252,3.7188,11.3448,40.3592,58.2737,200.6488,258.9225,1.1295,2.0729,2.0729,944.5,500,310.7
2014,74.7446,7.6806,32.708,25.3092,24.9914,23.885,19.0222,15.7805,25.7367,20.8381,21.8864,38.4033,38.4033,1.0215,56.991,72.2526,27.7474,27.7474,0.797,-343.8,-22.2611,2.7109,3.5862,4.9936,27.7474,54.2879,55.6377,208.3948,264.0325,1.498,0.8729,0.8729,1380.2,750,750
2015,73.0681,13.5615,108.4554,50.0452,49.2488,29.0997,34.9176,26.0264,43.4231,33.4197,16.977,27.2931,27.2931,0.4858,62.2027,78.5589,21.4411,21.4411,1.7092,-840.7,-38.3636,3.3767,4.0526,5.2361,21.4411,64.4884,46.393,176.6948,223.0878,2.7282,1.9437,1.9437,1805,750,750
