Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,72.5472,10.0149,-9.8921,30.1628,30.922,13.6001,26.7166,#N/A N/A,#N/A N/A,#N/A N/A,0,0,0,0,74.2996,100,0,0,#N/A N/A,-10.775,-0.0686,0.0029,0.8997,2.185,0,0.1311,#N/A N/A,#N/A N/A,#N/A N/A,1.254,#N/A N/A,#N/A N/A,4457.25,#N/A N/A,#N/A N/A
2012,73.4063,11.5507,-17.8289,20.7521,21.0273,6.4068,19.6801,16.8882,24.8453,#N/A N/A,0.2459,0.4023,0.2682,0.0098,61.1239,99.5993,0.4007,0.2671,130.1458,-605,-5.0704,0.1107,0.758,1.2471,0.4007,8.8795,75.2232,67.204,142.4272,0.6139,113.125,75.4167,1457,#N/A N/A,#N/A N/A
2013,75.4733,5.3657,53.6557,31.6485,31.148,7.8603,28.6997,22.674,68.9768,34.6337,58.0273,466.0125,435.0282,2.2495,12.4519,17.6675,82.3325,76.8584,0.4049,7696,228.8433,1.1771,1.7087,2.2659,82.3325,51.9474,73.8671,79.687,153.5541,0.8585,0.3976,0.3712,8578,2000,2000
2014,75.62,2.2307,-21.7441,30.1437,28.3768,22.5806,21.9691,14.6888,105.105,22.7947,50.4247,327.7605,318.1656,2.244,15.3846,23.3776,76.6224,74.3794,0.4257,4828,107.48,1.4384,1.9987,2.5946,76.6224,55.4404,72.4172,89.278,161.6952,0.8234,0.3963,0.3847,10969,2000,2000
2015,77.8257,6.2267,-57.0252,17.0892,11.8687,25.1161,8.8878,6.2563,56.9137,11.6617,54.4361,859.7589,604.9369,3.5685,6.3316,10.4193,89.5807,63.0301,0.237,6603,379.0471,0.735,1.0628,1.4115,89.5807,52.0739,69.3884,93.7653,163.1537,0.2994,0.3237,0.2277,4688,3000,3000
