Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,T12_NET_INT_MARGIN,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,AVG_COM_EQY_TO_AVG_ASSET,COM_EQY_TO_TOT_ASSET,BS_TIER1_CAP_RATIO,BS_TOT_CAP_TO_RISK_BASE_CAP,AVG_EARN_ASSET_TO_AVG_INT_LIAB,INT_EXP_TO_INT_BEAR_LIAB,T12_NET_INT_MARGIN,TOT_EXP_TO_AVG_EARN_ASSET,INT_INC_TO_AVG_TOT_LOAN,TANGIBLE_EQUITY,REALIZED_EQUITY
2011,-0.1636,#N/A N/A,-0.0607,-0.7299,2.7089,-0.1885,-0.0159,23.2158,265.6629,40.0296,27.3476,72.6524,10.9471,8.3231,8.7388,7.3,#N/A N/A,94.192,1.1677,2.7089,6.1268,6.8313,1787.07,4491.09
2012,9.9666,15.4476,0.3323,3.4898,2.5887,1.081,1.2906,19.2864,187.6234,10.2159,34.7677,65.2323,3.5518,9.5219,10.2793,11.4,12.7,97.8664,1.1909,2.5887,5.3686,7.8095,2707.91,#N/A N/A
2013,-7.6154,#N/A N/A,-0.2362,-2.29,2.2326,-0.8478,-0.9959,15.7862,152.5253,30.2386,39.6,60.4,11.9745,10.3144,10.3499,12.5,#N/A N/A,98.7341,1.1345,2.2326,5.7165,7.9801,2709.62,5214.4
2014,12.113,55.8775,0.1837,1.7625,2.1758,0.6928,1.5344,16.4014,156.3149,30.6369,39.0145,60.9855,11.9528,10.4204,10.4925,16.2,#N/A N/A,98.8002,0.8735,2.1758,4.4427,7.7925,2848.19,5309.37
2015,26.5726,35.177,0.6383,5.7277,2.4278,2.4257,3.7171,13.9183,117.8977,25.414,45.8931,54.1069,11.6633,11.1436,11.8054,19.6,#N/A N/A,102.0794,0.8201,2.4278,3.9664,8.8249,3389,5624
