Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,INT_INVEST_INC_TO_INVEST_ASSET,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,LOSS_RATIO_NL,EXP_RATIO_NL,COMB_RATIO_NL,TOT_INS_RES_TO_TOT_CAP,TOT_INS_RES_TO_TOT_ASSET,EQY_AND_RE_INVEST_TO_TOT_INVEST,OPER_INC_TO_NET_PREM_EARN,INS_RES_GROWTH,NET_PREM_EARN_TO_SHRHLDR_EQY,TANGIBLE_COMMON_EQUITY,REALIZED_EQUITY
2011,12.5984,20.1877,1.3312,6.4905,6.4573,7.0471,2.8849,5.6178,26.3133,26.3133,73.1303,19.243,19.243,63.8,31,94.8,234.1825,68.3673,0.2708,16.4059,-4.3436,51.0132,8771.25,9509.96
2012,-5.1394,#N/A N/A,-1.0588,-4.9916,-1.7116,-1.9563,3.0294,5.0942,24.1756,24.1756,72.2226,17.4603,17.4603,76.6,30.9,107.5,234.9907,68.5605,1.5265,-4.4992,-0.4986,52.9013,9004.34,#N/A N/A
2013,10.5693,4.4515,1.4461,6.5369,6.7387,6.7263,3.2481,3.6856,15.9159,15.9159,77.6845,12.3642,12.3642,65.3,31,96.3,226.1974,67.4262,1.9765,14.6668,-0.0655,51.3683,10101.55,#N/A N/A
2014,16.1002,6.3835,2.3285,10.3368,9.4481,9.0014,3.1979,4.9574,22.6374,22.6374,73.4445,16.6259,16.6259,62,30.5,92.5,225.092,67.1166,3.1503,19.3607,0.1242,55.5939,9586.02,#N/A N/A
2015,5.5395,26.4938,0.4153,1.8804,2.751,2.6585,1.7536,3.6908,16.5699,16.5699,76.6032,12.6931,12.6931,57,31.2,88.2,223.5316,64.9967,2.7362,6.0229,-4.4441,51.5494,9585.8,#N/A N/A
