Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,INT_INVEST_INC_TO_INVEST_ASSET,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,LOSS_RATIO_NL,EXP_RATIO_NL,COMB_RATIO_NL,TOT_INS_RES_TO_TOT_CAP,TOT_INS_RES_TO_TOT_ASSET,EQY_AND_RE_INVEST_TO_TOT_INVEST,OPER_INC_TO_NET_PREM_EARN,INS_RES_GROWTH,NET_PREM_EARN_TO_SHRHLDR_EQY,TANGIBLE_COMMON_EQUITY
2011,22.9102,15.2441,3.8529,14.5775,12.8732,15.1885,5.1102,5.9589,21.6201,15.9615,82.2233,17.7767,13.1241,59.2,31,90.2,167.5924,56.1778,1.3461,28.8137,-0.0662,58.7795,17676
2012,12.1302,24.5837,1.8046,6.5108,6.0446,8.015,2.7026,5.6344,20.2203,15.0789,83.1806,16.8194,12.5427,66,28.7,94.7,164.3819,55.0669,1.1621,14.8957,2.6865,63.2377,18857
2013,16.5923,9.0726,3.0089,10.4352,9.4848,10.4312,3.8968,5.4784,18.4156,13.3268,84.4483,15.5517,11.2543,65.7,28.2,93.9,151.161,53.2498,1.2346,20.5779,2.4852,56.9431,21942
2014,22.003,11.3261,4.0181,13.3366,11.8674,13.3832,4.3699,6.3665,20.8742,14.2793,82.7306,17.2694,11.8133,59.6,28.4,88,142.3483,52.478,1.3738,27.1655,0.6433,57.634,17481
2015,18.1889,18.1818,2.9602,9.7685,8.7253,10.6643,2.8183,6.3289,21.016,12.3906,82.6337,17.3663,10.2388,58.3,29.4,87.7,143.2509,52.2056,0.8108,21.6171,3.4155,58.8975,23397
