Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,51.9395,5.5192,6.9833,22.7445,22.5324,29.1856,17.8724,13.9023,24.9139,19.1138,17.5958,31.2465,27.5156,0.7793,56.3128,76.1925,23.8075,20.9648,1.0272,-46.08,-0.8479,1.0434,1.7644,2.6951,23.8075,38.7147,58.7687,118.575,177.3437,1.0031,1.1213,0.9874,2833.58,1215.84,1215.84
2012,52.2006,2.8716,-3.5379,21.9654,21.3328,25.7746,16.7588,12.6586,24.7691,18.1651,26.0737,56.3276,51.4618,1.2593,46.2893,63.9682,36.0318,32.9192,0.631,1156.28,23.9487,0.8574,1.5313,2.5605,36.0318,33.4876,58.5714,120.3356,178.907,0.9137,0.6705,0.6125,2845.1,1231.08,1231.08
2013,51.2818,1.6396,-7.9518,20.2103,19.1014,24.6453,15.1773,10.7375,26.1026,16.043,36.6718,100.7342,90.9384,2.0138,36.4046,49.8171,50.1829,45.3029,0.4225,1985.52,48.0072,1.1025,1.7342,2.6906,50.1829,40.9752,58.8331,121.1257,179.9588,0.7876,0.4142,0.3739,3344.02,1809.48,1809.48
2014,51.7879,4.4837,10.5197,15.5699,14.4649,20.2575,16.0541,10.9996,28.1764,16.2069,32.6776,78.7386,74.6331,2.2056,41.5014,55.9476,44.0524,41.7554,0.3791,1362,27.0131,1.2244,1.8066,2.7573,44.0524,44.4066,56.4121,124.2052,180.6173,0.5887,0.3332,0.3159,3743,1000,1000
2015,50.9235,4.8671,-8.3527,19.0149,18.0204,22.1419,14.0303,9.6357,23.477,14.3059,31.9033,78.587,74.5696,1.8316,40.5961,55.9951,44.0049,41.7553,0.4397,1226,24.2628,1.2287,1.7601,2.7444,44.0049,44.7725,52.4423,127.5519,179.9942,0.7189,0.4262,0.4044,3897,1000,1000
