Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,T12_NET_INT_MARGIN,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,AVG_COM_EQY_TO_AVG_ASSET,COM_EQY_TO_TOT_ASSET,AVG_EARN_ASSET_TO_AVG_INT_LIAB,INT_EXP_TO_INT_BEAR_LIAB,T12_NET_INT_MARGIN,TANGIBLE_EQUITY,REALIZED_EQUITY
2011,45.2011,37.1776,19.6197,21.668,0.2832,21.7586,33.5507,0,0,0,100,0,0,90.1697,90.5135,636.6491,2.1759,0.2832,2630.8,#N/A N/A
2012,45.5244,38.1737,20.8626,22.9173,0,23.0215,36.5301,0,0,0,100,0,0,90.6223,90.7275,692.2731,#N/A N/A,0,2755,#N/A N/A
2013,47.4806,38.4294,22.1645,24.1674,#N/A N/A,24.3188,37.5489,0,0,0,100,0,0,91.1415,91.5128,#N/A N/A,#N/A N/A,#N/A N/A,3180.4,3714.2
2014,48.8032,38.3851,22.6876,23.9699,#N/A N/A,24.1846,37.7969,0,0,0,100,0,0,93.81,95.7283,#N/A N/A,#N/A N/A,#N/A N/A,4152.4,#N/A N/A
2015,50.3026,38.6151,23.0316,23.8003,#N/A N/A,24.0784,37.0282,0,0,0,100,0,0,95.6525,95.585,#N/A N/A,#N/A N/A,#N/A N/A,4729.5,#N/A N/A
