Year,GROSS_MARGIN,SALES_GROWTH,NET_INC_GROWTH,OPER_MARGIN,PRETAX_MARGIN,EFF_TAX_RATE,PROF_MARGIN,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,TOT_DEBT_TO_EBITDA,COM_EQY_TO_TOT_ASSET,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,CFO_TO_TOT_DEBT,NET_DEBT,NET_DEBT_TO_SHRHLDR_EQTY,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,83.1179,3.4252,-16.3866,14.2165,11.2763,15.043,9.6446,4.9852,13.1556,10.5018,20.3082,57.0451,43.8825,1.6916,35.6003,62.9939,35.9349,27.6433,0.6945,-375,-8.1433,0.6045,0.8116,0.9168,35.9349,65.9385,54.9528,9.5789,64.5318,0.1798,0.4429,0.3407,-407,1000,1000
2012,83.9227,8.7237,96.3149,16.0327,21.8425,20.2721,17.4146,9.1068,24.3608,17.5524,15.6605,40.0275,40.0275,1.1752,39.1244,70.6421,28.2762,28.2762,0.9323,-1172,-22.6605,0.7128,0.9214,1.0284,28.2762,69.3071,52.8152,9.756,62.5712,0.2395,0.5292,0.5292,128,1000,1000
2013,82.9858,2.6152,-35.5802,16.0151,14.567,24.9503,10.9325,5.4853,14.2857,10.8926,21.3055,56.4463,38.2396,1.7724,37.7447,63.9197,36.0803,24.4426,0.5154,-1656,-30.2411,0.8527,1.0379,1.1525,36.0803,73.9869,51.9435,8.0545,59.998,0.1987,0.5282,0.3578,849,1000,1000
2014,82.7891,-3.3304,18.9404,17.7202,17.3158,22.3183,13.4512,6.4035,15.9319,11.7049,15.4738,36.1394,36.1394,1.2515,42.817,73.4541,26.5459,26.5459,0.6115,-1989,-34.3109,0.9484,1.1823,1.3126,26.5459,72.2576,55.5596,6.0191,61.5788,0.2747,0.5647,0.5647,1346,1000,1000
2015,81.6229,-40.743,-2.2272,3.8928,2.5531,#N/A N/A,22.1941,6.5591,14.9676,11.6649,15.8392,35.3159,29.4187,4.1505,44.85,73.9011,26.0989,21.7408,0.626,-1764,-29.722,0.8668,1.024,1.2176,26.0989,71.1914,80.0426,3.5722,83.6148,0.0346,0.0882,0.0735,969,1000,1000
