Year,PRETAX_MARGIN,EFF_TAX_RATE,RETURN_ON_ASSET,RETURN_COM_EQY,RETURN_ON_CAP,OPER_INC_TO_TOT_CAP,INT_INVEST_INC_TO_INVEST_ASSET,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_COM_EQY,LT_DEBT_TO_COM_EQY,COM_EQY_TO_TOT_CAP,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_TOT_CAP,TOT_INS_RES_TO_TOT_CAP,TOT_INS_RES_TO_TOT_ASSET,EQY_AND_RE_INVEST_TO_TOT_INVEST,OPER_INC_TO_NET_PREM_EARN,INS_RES_GROWTH,NET_PREM_EARN_TO_SHRHLDR_EQY,TANGIBLE_COMMON_EQUITY,REALIZED_EQUITY
2011,11.8574,22.9335,0.5279,6.8608,6.7549,8.554,5.606,2.9666,44.9008,42.1599,69.0127,30.9873,29.0957,908.4285,86.9696,3.5937,70.0827,9.7412,16.992,9787,#N/A N/A
2012,4.727,54.4732,0.1118,1.7061,1.9002,4.268,4.9391,2.8244,43.4394,38.8596,69.7158,30.2842,27.0913,919.3061,85.7388,0.2964,34.7428,2.4845,17.5101,10828,10144
2013,13.5934,17.9847,0.6247,9.3539,7.8007,9.3442,4.9658,2.5764,37.6611,34.9896,72.6422,27.3578,25.4172,909.0384,85.6087,0.2241,74.7766,8.4599,16.4429,12700,10851
2014,13.6269,23.7278,0.5458,8.7529,7.2515,9.5073,4.7531,2.4567,43.2724,35.8237,69.7971,30.2029,25.0039,1084.08,88.1783,0.2603,70.562,11.5082,19.9747,11179,#N/A N/A
2015,14.7337,24.1863,0.618,10.3796,8.4742,11.1711,4.9017,2.1786,35.0699,31.8933,74.0357,25.9643,23.6124,1038.73,87.1563,0.2438,75.7697,5.6956,18.9835,13467,#N/A N/A
