Year,GROSS_MARGIN,OPER_MARGIN,PRETAX_MARGIN,PROF_MARGIN,NET_INC_GROWTH,EFF_TAX_RATE,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,TOT_DEBT_TO_TOT_CAP,GROWTH_IN_CAP,BS_TOT_CAP,PFD_STOCK_TO_TOT_CAP,COM_EQY_TO_TOT_CAP,NET_DEBT,CASH_RATIO,QUICK_RATIO,CUR_RATIO,TOT_DEBT_TO_TOT_CAP,CASH_ST_INVESTMENTS_TO_CUR_ASSET,ACCT_RCV_DAYS,INVENT_DAYS,INV_TO_CASH_DAYS,OPER_INC_TO_CUR_LIAB,OPER_INC_TO_LT_DEBT,OPER_INC_TO_TOT_DEBT,WORKING_CAPITAL,BS_TOTAL_LINE_OF_CREDIT,BS_TOTAL_AVAIL_LINE_OF_CREDIT
2011,66.9433,17.1327,13.3532,10.5407,54.0636,21.3639,12.2993,3.0078,8.0586,52.1641,8.5815,24028,3.7748,44.0444,11096,0.3515,0.6994,1.1189,52.1641,31.4111,40.2532,48.984,89.2373,0.538,0.1719,0.1696,470,5384,5258
2012,68.3037,19.4654,15.7537,0.2078,-98.318,34.0528,-0.3586,0.047,1.5406,45.5207,-15.3113,20349,5.0568,49.4127,9091,0.0389,0.3349,1.0313,45.5207,3.769,45.8491,49.921,95.7701,0.474,0.2333,0.2225,136,5384,4805
2013,65.1071,19.2632,15.6888,-0.7756,#N/A N/A,14.3471,-1.8782,-0.1991,1.7303,45.6668,1.2187,20597,8.5401,45.7931,9232,0.0454,0.3958,0.7137,45.6668,6.3623,40.0959,30.5074,70.6032,0.6103,0.2475,0.2429,-1072,4000,3663
2014,61.1239,13.6317,9.7051,8.0677,#N/A N/A,19.8198,9.4476,2.2298,6.7618,47.635,8.3944,22326,7.8518,44.5131,10489,0.0299,0.3237,0.6785,47.635,4.4082,39.8335,22.2388,62.0723,0.3514,0.1746,0.1613,-1569,4000,3675
2015,58.3016,18.4299,14.7543,12.8532,69.8522,22.385,15.4273,3.5775,9.1065,48.0833,12.0532,25017,8.0825,43.8102,11897,0.0241,0.2836,0.651,48.0833,3.7006,38.8593,17.5223,56.3817,0.4512,0.2415,0.2055,-1912,4000,2905
